CustomerID,Lookalikes
C0001,"[('C0048', 0.9983447471576817), ('C0190', 0.9978543166924726), ('C0181', 0.9933333138341592)]"
C0002,"[('C0106', 0.9911787419785676), ('C0088', 0.9884765059341099), ('C0056', 0.9874527030853035)]"
C0003,"[('C0052', 0.9944624323612995), ('C0152', 0.9936763850167545), ('C0031', 0.9925857611496564)]"
C0004,"[('C0024', 0.9912697663589027), ('C0194', 0.990988378021601), ('C0155', 0.9904899229729376)]"
C0005,"[('C0186', 0.997208912903791), ('C0007', 0.9919835977823088), ('C0146', 0.9907869311860181)]"
C0006,"[('C0168', 0.9955813613617366), ('C0131', 0.9944445823867576), ('C0171', 0.9941305165770249)]"
C0007,"[('C0115', 0.994368560036217), ('C0005', 0.9919835977823088), ('C0138', 0.9850177163829286)]"
C0008,"[('C0127', 0.9759330514328161), ('C0065', 0.9757137847801595), ('C0124', 0.9655054573124902)]"
C0009,"[('C0152', 0.9882536735980838), ('C0157', 0.9844233732657098), ('C0076', 0.981057629098944)]"
C0010,"[('C0111', 0.987015471119823), ('C0068', 0.9864200256105092), ('C0104', 0.9758406150558232)]"
C0011,"[('C0137', 0.9979258397570742), ('C0126', 0.9961761270104742), ('C0191', 0.9949208587053129)]"
C0012,"[('C0195', 0.9973416683597771), ('C0072', 0.9964068941043772), ('C0055', 0.9959193178598457)]"
C0013,"[('C0099', 0.9970664682787242), ('C0108', 0.995274646566749), ('C0067', 0.9934101559368035)]"
C0014,"[('C0060', 0.9838690595590447), ('C0128', 0.9424350899912946), ('C0097', 0.9400115827661407)]"
C0015,"[('C0085', 0.9960776694764143), ('C0131', 0.9828672600343864), ('C0036', 0.9791389012545549)]"
C0016,"[('C0183', 0.9984795341081596), ('C0067', 0.9883207007818544), ('C0013', 0.9857812204938904)]"
C0017,"[('C0075', 0.9959681590297667), ('C0156', 0.9889295279167167), ('C0081', 0.9873355297350692)]"
C0018,"[('C0082', 0.9922438665698873), ('C0087', 0.9859607076017048), ('C0073', 0.985447912609161)]"
C0019,"[('C0139', 0.9845354354969961), ('C0024', 0.977675280514802), ('C0194', 0.9763446696540965)]"
C0020,"[('C0198', 0.9766331571939246), ('C0050', 0.9633805724819521), ('C0158', 0.9499183072765139)]"
